iter	F1	Logloss
468	0.9837848505	0.1281801199
469	0.9837866675	0.1281596483
470	0.9837866675	0.1281371984
471	0.9837921183	0.1281256928
472	0.9837993863	0.1280903481
473	0.9837993863	0.1280847357
474	0.9838012033	0.1280730617
475	0.9838066543	0.1280553683
476	0.9838102884	0.1280329605
477	0.9838320933	0.1279398773
478	0.983841179	0.1279148597
479	0.9838393618	0.1278902489
480	0.9838448133	0.1278729765
481	0.9838484476	0.1278433566
482	0.9838557164	0.1278288343
483	0.9838557164	0.1277867266
484	0.9838538992	0.1277659183
485	0.9838538992	0.1277603198
486	0.9838593508	0.1277367193
487	0.9838593508	0.1277147605
488	0.9838611681	0.1276945134
489	0.9838593508	0.1276774795
490	0.9838575336	0.1276627187
491	0.9838593508	0.1276458672
492	0.983868437	0.1276167524
493	0.9838738888	0.1275846349
494	0.9838757061	0.1275395105
